Actual_Ammonia,Predicted_Ammonia
0.16,0.11400220493751462
0.31,0.10034666250343383
0.0,0.136591951827765
0.142622664,0.11400220493751462
0.02,0.10219358071765852
0.05,0.10943169229236824
0.04,0.11383442050598071
0.0,0.0701970521463659
0.09,0.12990272426534907
0.142622664,0.11024706139387197
0.17,0.3062421958970985
0.3,0.11488785680673602
0.21,0.1469382807521473
0.142622664,0.1441175771782875
0.142622664,0.07278942478798311
0.142622664,0.1310664964941799
0.142622664,0.136591951827765
0.142622664,0.11862735414171312
0.1,0.11464164697156352
0.0,0.15496069987340358
0.09,0.07004358634497904
0.05,0.15666788799416642
0.36,0.1266657256963984
0.27,0.15666788799416642
0.5,0.18239153708457306
0.142622664,0.10569850510869776
0.11,0.13072378627052383
0.142622664,0.10034666250343383
0.142622664,0.14809731330673176
0.142622664,0.1469382807521473
0.142622664,0.15496069987340358
0.02,0.12639977847862782
0.02,0.11400220493751462
0.06,0.14969151717167054
0.19,0.13430583285550682
0.1,0.10569850510869776
0.142622664,0.14317070923473643
0.0,0.06959950178410856
0.142622664,0.1310664964941799
0.26,0.11529711789757632
0.14,0.14510480002644063
0.142622664,0.14969151717167054
0.142622664,0.1469382807521473
0.142622664,0.06938167853074605
0.142622664,0.14317070923473643
0.142622664,0.14809731330673176
0.142622664,0.14084199775917522
0.09,0.11464164697156352
0.15,0.1266657256963984
0.0,0.11488785680673602
0.93,0.12496764654146907
0.14,0.14969151717167054
0.142622664,0.1266657256963984
0.14,0.07004358634497904
0.142622664,0.1310664964941799
0.0,0.048071787035952364
0.142622664,0.11935941798902665
0.0,0.15002014447500028
0.142622664,0.14969151717167054
0.02,0.0740977055156459
0.09,0.1757505289461736
0.142622664,0.11400220493751462
0.01,0.12393133617858634
0.0,0.10812995848012714
0.05,0.05704906559999994
0.19,0.0740977055156459
0.142622664,0.1266657256963984
0.1,0.14362610000344836
0.142622664,0.14294130796335777
0.01,0.06275683412561904
0.07,0.13913132277872062
0.142622664,0.14294130796335777
0.0,0.10034666250343383
0.142622664,0.15436587070669716
0.142622664,0.14294130796335777
0.142622664,0.14247944196683096
0.19,0.12560911679697684
0.12,0.0701970521463659
0.142622664,0.18594618369406699
0.0,0.10282110398430085
0.142622664,0.11533649096928236
0.12,0.12639977847862782
0.25,0.13913132277872062
0.142622664,0.10943169229236824
0.142622664,0.0952584523809525
0.0,0.14398698054717904
0.31,0.3644912359461711
0.142622664,0.1266657256963984
0.0,0.12393133617858634
0.142622664,0.14317070923473643
0.142622664,0.13998139362011375
0.21,0.1266657256963984
0.03,0.1310664964941799
1.01,0.12990272426534907
0.142622664,0.14317070923473643
0.0,0.1469382807521473
0.142622664,0.14317070923473643
0.0,0.11400220493751462
0.24,0.12639977847862782
0.142622664,0.11464164697156352
0.142622664,0.15436587070669716
0.19,0.14317070923473643
0.142622664,0.14317070923473643
0.04,0.15666788799416642
0.142622664,0.15879365268329132
0.142622664,0.1065135049644452
0.142622664,0.1310664964941799
0.06,0.13472439843892428
0.142622664,0.15436587070669716
0.142622664,0.14084199775917522
0.02,0.12560911679697684
0.19,0.11383442050598071
0.142622664,0.14084199775917522
0.142622664,0.1405580924771431
0.11,0.11400220493751462
0.142622664,0.09929557407081548
0.142622664,0.1266657256963984
0.142622664,0.13913132277872062
0.03,0.11383442050598071
0.0,0.1469382807521473
0.142622664,0.17975484142005313
