Actual_DO,Predicted_DO
3.8,3.779556785714295
1.9,3.24935
10.9,7.438618929743716
5.1,4.804325701324876
9.1,5.710032997127354
3.75,7.461168888888885
8.4,3.768467893217892
4.1,4.12993363095238
3.7,3.803098809523811
10.3,8.911761858628989
3.1,3.8134125000000045
3.2,4.54944999999999
3.8,5.189083333333331
7.15,7.5033639922577455
7.4,7.913433333333358
10.5,9.332359990810941
9.4,8.933600262562788
10.2,8.834790235196504
3.4,5.340667063492054
8.65,8.060246569264073
4.1,3.7408825406619504
4.23,3.636110000000001
3.4,4.236599999999988
3.2,3.46895
1.62,5.307366666666672
8.75,4.85229044011544
10.2,9.005199999999979
11.9,6.743432353549228
7.7,10.144361671535808
3.95,8.986561482267737
9.3,9.399640188743916
4.4,4.680772619047629
4.7,4.0233833333333315
4.6,4.532616904761908
3.7,7.865474999999986
3.3,2.4333999999999945
8.7,9.38168769126591
3.8,7.938468452380965
8.6,9.332359990810941
4.2,3.466750000000005
8.6,3.922502083333335
8.6,9.810803337909961
10.45,8.986561482267737
15.65,9.973049999999978
10.3,9.38168769126591
9.6,10.144361671535808
11.7,9.478660854193421
8.7,4.087466111111117
3.8,3.728024999999998
12.45,8.253938666888661
2.9,8.217799999999997
9.4,5.560379301075261
3.7,7.941763347255814
3.5,3.54474742063492
8.4,9.332359990810941
4.0,2.8446842857142833
9.1,6.5365061204123585
4.43,13.084399999999974
11.05,9.810803337909961
4.1,4.520052678571433
3.4,4.277803769841269
8.8,4.804325701324876
3.3,5.003537003968258
4.3,4.191778192640684
16.4,12.46429999999998
3.3,3.552950000000001
9.6,7.941763347255814
3.04,3.4020340548340577
6.446383749,6.446383749000005
3.7,3.7780966666666678
0.8,3.0561431499056506
6.446383749,6.446383749000005
4.15,6.741484458943839
9.2,9.14852270741439
6.446383749,6.446383749000005
9.8,9.935974137068875
2.1,5.322127380952372
3.3,3.138750000000004
8.74,9.711361366193504
4.37,4.193937500000012
3.75,7.0903900793650765
3.3,3.992507142857152
4.9,4.027747619047632
8.15,8.120288511904779
10.4,6.399699999999985
1.3,6.174029900793653
3.6,4.428799999999989
10.8,7.941763347255814
3.85,4.164079385168066
7.4,9.38168769126591
8.2,9.013547744189527
4.5,4.780514765512266
3.8,8.043206666666661
3.2,3.4895833333333313
9.2,9.38168769126591
4.0,4.564780871212122
8.5,9.38168769126591
8.55,4.079726935985476
3.5,4.1225095238095175
3.65,8.528607067279344
12.05,9.14852270741439
3.2,4.220893452380954
10.5,9.38168769126591
3.63,3.4104183333333298
11.6,10.133588364261739
8.3,8.1856814484127
8.6,9.332359990810941
10.9,5.572188690476191
6.5,9.14852270741439
11.2,9.478660854193421
4.6,9.032282738095237
3.6,3.451866666666669
10.4,9.478660854193421
10.1,10.684559523809519
3.5,3.2269865079365148
4.1,9.64147091630592
8.8,7.941763347255814
16.8,9.006148829030069
3.6,4.577546401839474
8.82,4.564780871212122
11.9,10.327339290831334
1.5,1.7970499999999954
1.53,7.737873333333317
4.9,7.820270218392722
11.25,8.73873779610102
6.446383749,6.446383749000005
8.9,9.38168769126591
11.8,9.38168769126591
8.6,8.76523356631409
3.5,4.665226659960698
8.8,9.006148829030069
1.5,7.941763347255814
11.1,9.38168769126591
3.4,8.986561482267737
4.36,7.77383908272285
3.4,3.538720202020203
4.0,6.291563343513732
3.2,7.8449624999999905
10.9,9.006148829030069
3.7,4.015993314712247
3.2,3.8183450000000025
3.8,5.003537003968258
2.12,2.8118499999999993
10.8,9.935974137068875
3.5,3.9777301948051944
3.5,3.7366220238095185
4.25,3.799920833333326
3.8,3.207475000000001
10.35,9.332359990810941
3.63,7.575553090332871
1.4,4.564780871212122
3.9,4.232414024170275
8.6,9.935974137068875
1.7,3.100113888888893
7.8,5.398144841269839
10.8,7.941763347255814
11.8,9.95797942460317
3.55,3.4235214285714313
3.85,7.203741755584246
3.9,3.7708999999999993
13.8,10.144361671535808
9.7,7.877276244588741
8.55,9.794517570805413
8.7,5.088844769119772
2.1,3.830483928571431
1.4,3.9829749999999997
11.3,5.972440476190478
9.4,9.091127777777801
7.07,5.444004999999993
7.4,8.528607067279344
10.9,10.144361671535808
9.1,8.677899156725632
3.72,3.945904166666659
2.7,3.8605150228937726
3.15,9.810803337909961
1.8,6.291563343513732
10.4,8.933600262562788
12.3,9.848318320555437
1.6,9.006148829030069
1.5,9.913577663655792
11.4,5.301664742063492
3.8,3.7188499999999958
10.4,9.935974137068875
3.3,4.260691666666661
8.4,9.794517570805413
2.4,3.667058333333335
1.9,4.68691666666666
9.4,9.006148829030069
3.7,3.1075500000000034
13.4,9.698948117903457
10.8,6.966944047619038
11.2,7.6385190476190665
10.3,10.629131911845587
10.05,8.661283147408147
10.4,9.006148829030069
3.5,3.8440428571428655
3.6,4.55095833333334
3.85,3.143442857142857
3.9,4.53347817460318
3.6,3.733657301587296
8.35,9.698948117903457
8.5,9.935974137068875
4.6,4.265837500000004
4.6,3.1009499999999988
10.95,9.399640188743916
8.9,9.492867135642136
